1,1,Delivered,9/21/2022,2022-10-09 17:17:07.661 +00:00,2022-10-09 17:17:07.661 +00:00
2,39,A waiting Logistics patner,9/14/2022,2022-10-09 17:17:07.661 +00:00,2022-10-09 17:17:07.661 +00:00
3,20,Credit Checking,9/13/2022,2022-10-09 17:17:07.661 +00:00,2022-10-09 17:17:07.661 +00:00
4,6,Credit Checking,9/24/2022,2022-10-09 17:17:07.661 +00:00,2022-10-09 17:17:07.661 +00:00
5,50,On its way to you,9/16/2022,2022-10-09 17:17:07.661 +00:00,2022-10-09 17:17:07.661 +00:00
6,28,A waiting Logistics patner,9/2/2022,2022-10-09 17:17:07.661 +00:00,2022-10-09 17:17:07.661 +00:00
7,39,On its way to you,9/5/2022,2022-10-09 17:17:07.661 +00:00,2022-10-09 17:17:07.661 +00:00
8,8,Payment Completed,9/22/2022,2022-10-09 17:17:07.661 +00:00,2022-10-09 17:17:07.661 +00:00
9,27,Credit Checking,9/18/2022,2022-10-09 17:17:07.661 +00:00,2022-10-09 17:17:07.661 +00:00
10,46,A waiting Logistics patner,9/23/2022,2022-10-09 17:17:07.661 +00:00,2022-10-09 17:17:07.661 +00:00
11,31,Filling Boxes,9/13/2022,2022-10-09 17:17:07.661 +00:00,2022-10-09 17:17:07.661 +00:00
12,20,Payment Completed,9/9/2022,2022-10-09 17:17:07.661 +00:00,2022-10-09 17:17:07.661 +00:00
13,38,Delivered,9/13/2022,2022-10-09 17:17:07.661 +00:00,2022-10-09 17:17:07.661 +00:00
14,45,Credit Checking,9/20/2022,2022-10-09 17:17:07.661 +00:00,2022-10-09 17:17:07.661 +00:00
15,2,Filling Boxes,9/13/2022,2022-10-09 17:17:07.661 +00:00,2022-10-09 17:17:07.661 +00:00
16,40,A waiting Logistics patner,9/16/2022,2022-10-09 17:17:07.661 +00:00,2022-10-09 17:17:07.661 +00:00
17,9,Payment Completed,9/4/2022,2022-10-09 17:17:07.661 +00:00,2022-10-09 17:17:07.661 +00:00
18,32,On its way to you,9/16/2022,2022-10-09 17:17:07.661 +00:00,2022-10-09 17:17:07.661 +00:00
19,31,Delivered,9/15/2022,2022-10-09 17:17:07.661 +00:00,2022-10-09 17:17:07.661 +00:00
20,46,Credit Checking,9/5/2022,2022-10-09 17:17:07.661 +00:00,2022-10-09 17:17:07.661 +00:00
21,50,Filling Boxes,9/23/2022,2022-10-09 17:17:07.661 +00:00,2022-10-09 17:17:07.661 +00:00
22,7,Payment Completed,9/5/2022,2022-10-09 17:17:07.661 +00:00,2022-10-09 17:17:07.661 +00:00
23,38,Payment Completed,9/1/2022,2022-10-09 17:17:07.661 +00:00,2022-10-09 17:17:07.661 +00:00
24,19,Delivered,9/11/2022,2022-10-09 17:17:07.661 +00:00,2022-10-09 17:17:07.661 +00:00
